Price,Address,Bedrooms,Bathrooms,Living Area (sqft),Latitude,Longitude,Property Link
"$989,000","8323 Gustav Ln, Canoga Park, CA 91304",4,2,2043 sqft,34.219944,-118.63689,https://www.zillow.com/homedetails/8323-Gustav-Ln-Canoga-Park-CA-91304/51576115_zpid/
"$1,995,000","21641 Mulholland Dr, Woodland Hills, CA 91364",4,4,2908 sqft,34.148808,-118.6017,https://www.zillow.com/homedetails/21641-Mulholland-Dr-Woodland-Hills-CA-91364/19951292_zpid/
"$2,295,000","20286 Allentown Dr, Woodland Hills, CA 91364",5,5,3896 sqft,34.161526,-118.57218,https://www.zillow.com/homedetails/20286-Allentown-Dr-Woodland-Hills-CA-91364/19941143_zpid/
"$769,967","10029 Noble Ave, Mission Hills, CA 91345",4,3,1655 sqft,34.252632,-118.46123,https://www.zillow.com/homedetails/10029-Noble-Ave-Mission-Hills-CA-91345/20138325_zpid/
"$3,600,000","4035 Pacheco Dr, Sherman Oaks, CA 91403",5,5,4398 sqft,34.144146,-118.46155,https://www.zillow.com/homedetails/4035-Pacheco-Dr-Sherman-Oaks-CA-91403/19989339_zpid/
"$1,995,000","6481 W 77th St, Los Angeles, CA 90045",4,4,2392 sqft,33.97345,-118.40278,https://www.zillow.com/homedetails/6481-W-77th-St-Los-Angeles-CA-90045/20383011_zpid/
"$899,000","7314 Summitrose St, Tujunga, CA 91042",3,3,1510 sqft,34.25938,-118.29196,https://www.zillow.com/homedetails/7314-Summitrose-St-Tujunga-CA-91042/20098571_zpid/
"$1,349,900","17642 Calvert St, Encino, CA 91316",4,3,1611 sqft,34.18155,-118.51775,https://www.zillow.com/homedetails/17642-Calvert-St-Encino-CA-91316/19966296_zpid/
"$5,995,000","3659 Shannon Rd, Los Angeles, CA 90027",6,6,6408 sqft,34.11907,-118.27554,https://www.zillow.com/homedetails/3659-Shannon-Rd-Los-Angeles-CA-90027/20811608_zpid/
"$5,298,000","4113 Woodman Ave, Sherman Oaks, CA 91423",5,6,5273 sqft,34.145298,-118.430984,https://www.zillow.com/homedetails/4113-Woodman-Ave-Sherman-Oaks-CA-91423/19985272_zpid/
"$10,450","1104 Casiano Rd, Los Angeles, CA 90049",4,4,2650 sqft,34.081005,-118.469055,https://www.zillow.com/homedetails/1104-Casiano-Rd-Los-Angeles-CA-90049/20528677_zpid/
"$249,999","13691 Gavina Ave UNIT 444, Sylmar, CA 91342",3,2,1624 sqft,34.316757,-118.403885,https://www.zillow.com/homedetails/13691-Gavina-Ave-UNIT-444-Sylmar-CA-91342/136709563_zpid/
"$839,000","619 1/4 N Sycamore Ave, Los Angeles, CA 90036",2,2,1196 sqft,34.082485,-118.34317,https://www.zillow.com/homedetails/619-1-4-N-Sycamore-Ave-Los-Angeles-CA-90036/455160775_zpid/
"$4,995,000","2132 Walnut Ave, Venice, CA 90291",5,6,4100 sqft,33.998493,-118.45217,https://www.zillow.com/homedetails/2132-Walnut-Ave-Venice-CA-90291/20453125_zpid/
"$1,049,000","1032 Glen Arbor Ave, Los Angeles, CA 90041",3,2,1222 sqft,34.133263,-118.187874,https://www.zillow.com/homedetails/1032-Glen-Arbor-Ave-Los-Angeles-CA-90041/20769212_zpid/
"$1,092,000","2353 Lucerne Ave, Los Angeles, CA 90016",2,2,1092 sqft,34.035854,-118.34268,https://www.zillow.com/homedetails/2353-Lucerne-Ave-Los-Angeles-CA-90016/20596162_zpid/
"$749,000","1006 N Beverly Glen Blvd, Los Angeles, CA 90077",2,1,994 sqft,34.09364,-118.43971,https://www.zillow.com/homedetails/1006-N-Beverly-Glen-Blvd-Los-Angeles-CA-90077/20529873_zpid/
